Historical Period,Time/Century,Edition_ID,URL,Scholarly,Digital,Edition,Prototype,Language,Writing support,Begin date,End date,Manager,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML-TEI available to download,Images,Zoom images,"Image manipulation (brightness, saturation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile compatibility/application,Print-friendly view,Print facsimile (complementary output),Manuscript(s') repository,Manuscript place of origin,Sponsor/Funding body,Budget (rough),Infrastructure,CDROM: Easy to access?,CDROM: Cost
Long Nineteenth Century,1787-1817,Jane Austen's Fiction Manuscripts,http://www.janeausten.ac.uk/index.html,no information provided,no information provided,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,Kathryn Sutherland,"King's College London (Department of Digital Humanities), University of Oxford",no information provided,no information provided,no information provided,no information provided,1,no information provided,1,1,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Bodleian Library; British Library; Pierpont Morgan Library New York; King's College Cambridge; private ownership,no information provided,AHRC,no information provided,Kiln (former xMod),N/A,N/A
Long Nineteenth Century,1855-1892,The Walt Whitman Archive,http://www.whitmanarchive.org/,no information provided,no information provided,no information provided,no information provided,ENG,Manuscript,1995,present,Kenneth M. Price,University of Nebraska,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century; Modern,1868-1935,Schenker Documents Online,http://www.schenkerdocumentsonline.org,no information provided,no information provided,no information provided,no information provided,GER,Manuscript,2010,2013,Marilyn Deegan,"King's College London (Department of Digital Humanities); Universität für Musik und darstellende Kunst, Vienna; University of Southampton",no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,xMod (KCL custom),N/A,N/A
Long Nineteenth Century,1810-1849,Online Chopin Variorum Edition,http://www.ocve.org.uk/index.html,no information provided,no information provided,no information provided,no information provided,"ENG, FRE, GER, POL",Manuscript,2005,2014,Marilyn Deegan; John Rink,King's College London (Department of Digital Humanities),no information provided,1,no information provided,no information provided,"0,5",no information provided,1,no information provided,"0,5",no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,1,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,xMod (KCL custom),N/A,N/A
Early Modern,"1563, 1570, 1576, 1583",John Foxe's The Acts and Monuments Online,http://www.johnfoxe.org/,no information provided,1,no information provided,no information provided,"GRC, LAT, ENM",Manuscript,no information provided,no information provided,Mark Greengrass,University of Sheffield; University of Ohio; The British Academy,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,1,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,AHRC; British Academy,no information provided,"Microsoft Access, Javascript",N/A,N/A
Middle Ages,1304-1374,Oregon Petrarch Open Book Project,http://petrarch.uoregon.edu/,1,no information provided,1,1,ITA,Manuscript,2003,present,Massimo Lollini,University of Oregon,no information provided,1,1,1,1,no information provided,1,0,0,0,FRE; SPA,ENG,no information provided,no information provided,1,0,no information provided,no information provided,no information provided,no information provided,1,1,1,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,Unknown,Drupal,N/A,N/A
Middle Ages,1486,Conclusiones CM,http://www.stg.brown.edu/projects/pico/about.php,no information provided,1,no information provided,no information provided,LAT,Manuscript,2002,no information provided,Massimo Riva,Brown University,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,British Library,no information provided,"Faculty Grant, Computing and Information Services at Brown University",no information provided,no information provided,N/A,N/A
Middle Ages,no information provided,Decameron Web,http://www.brown.edu/Departments/Italian_Studies/dweb/index.php,0,1,0,no information provided,ITA,no information provided,no information provided,no information provided,Massimo Riva,Brown University,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,1,1,0,no information provided,no information provided,0,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,0,0,"National Endowment for the Humanties, USA",no information provided,no information provided,N/A,N/A
Middle Ages,1487-1496,Pico della Mirandola: De hominis dignitate,http://www.brown.edu/Departments/Italian_Studies/pico/index.html,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript,no information provided,no information provided,Massimo Riva,Brown University,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ITA; ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,500 BC-640 AD,Inscriptions of Israel/Palestine,http://www.stg.brown.edu/projects/Inscriptions/index.shtml,no information provided,no information provided,no information provided,no information provided,"HEB, ARC, GRC, LAT",Tablets; prisms; cylinders; rock faces; steles; wall; threshold slabs; etc.,1996,no information provided,Michael Satlow; Elli Mylonas,Brown University,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,1,1,1,no information provided,1,0,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,findspot,"Israel, Palestine",Center of Digital Scholarship and the Office of the Vice President of Research at Brown University,no information provided,no information provided,N/A,N/A
Middle Ages,1200-1210,Parzival-Projekt,http://www.parzival.unibe.ch/home.html,no information provided,no information provided,no information provided,no information provided,GMH,Manuscript,no information provided,no information provided,Michael Stolz,University of Bern,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,GER; ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Swiss National Science Foundation,no information provided,no information provided,N/A,N/A
Middle Ages,1350-1353,Decameron Ipertestuale,http://www.rose.uzh.ch/static/decameron/index3.htm,no information provided,no information provided,no information provided,no information provided,ITA,no information provided,no information provided,no information provided,Michelangelo Picone,University of Zürich,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ITA,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Various,no information provided,Fondo Nazionale Svizzero per la Ricerca Scientifica,no information provided,CDROM,no information provided,no information provided
Long Nineteenth Century,1812,Percy Bysshe Shelley: The Devil's Walk,http://www.rc.umd.edu/editions/shelley/devil/index.html,no information provided,1,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,Neil Fraistat,University of Maryland,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1773,Poems by Anna Laetitia Aikin,http://www.rc.umd.edu/editions/contemps/barbauld/poems1773/,1,1,1,no information provided,ENG,Manuscript,no information provided,no information provided,Neil Fraistat,University of Maryland,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,1766-1823,The Letters of Robert Bloomfield,http://www.rc.umd.edu/editions/bloomfield_letters/,1,no information provided,1,1,ENG,Manuscript,no information provided,no information provided,Neil Fraistat,University of Maryland,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,17th,The Shelley-Godwin Archive,http://www.shelleygodwinarchive.org/,no information provided,1,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,Neil Fraistat,"MITH; The New York Public Library; The Bodleian Libraries of the University of Oxford; Houghton Library of Harvard University; Huntington Library, Art Collections, and Botanical Gardens; British Library; The Gladys Krieble Delmas Foundation ",no information provided,no information provided,no information provided,no information provided,1,no information provided,1,1,no information provided,1,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"Drupal (CMS), MITHgrid (engine)",N/A,N/A
Long Nineteenth Century,1822,Thomas Lovell Beddoes: The Brides' Tragedy ,http://www.rc.umd.edu/editions/beddoes/intro.html,1,no information provided,1,1,ENG,Manuscript,no information provided,no information provided,Neil Fraistat,University of Maryland,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,1326-1400,The Online Froissart,http://www.hrionline.ac.uk/onlinefroissart/index.jsp,no information provided,no information provided,no information provided,no information provided,FRO,no information provided,no information provided,present,Peter Ainsworth,University of Sheffield; University of Liverpool,no information provided,1,no information provided,no information provided,1,no information provided,"0,5",no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,1,0,no information provided,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Arts and Humanities Research Council's Resource Enhancement programme awarded a grant to the Universities of Sheffield and Liverpool ,no information provided,no information provided,N/A,N/A
Middle Ages,1350-1425,Welsh Prose 1350-1425,http://www.rhyddiaithganoloesol.caerdydd.ac.uk/en/,no information provided,1,no information provided,no information provided,WEL,no information provided,2004,2007,Peter Wynn Thomas,Cardiff University,no information provided,1,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG; WEL,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,Various,no information provided,AHRC,no information provided,no information provided,N/A,N/A
Early Modern,1642-1727,The Newton Project,http://www.newtonproject.sussex.ac.uk/prism.php?id=1,1,no information provided,1,1,LAT,Manuscript,1998,present,Robert Iliffe,University of Sussex,no information provided,1,1,1,1,no information provided,0,0,0,0,0,ENG,0,1,1,0,1,"1,5",0,0,0,"0,5",1,no information provided,no information provided,0,0,Cambridge University Library,"Trinity College, Cambridge",University of Sussex; AHRC; JISC; The Royal Society; CORDIS: Community Research and Development Information Service,£2.6m (more funding to come),"Javascript, Adobe Photoshop, XMetal, XSLT, BBEdit, Macromedia Studio, Oxygen",N/A,N/A
Middle Ages,10th,Vercelli Book Digitale,http://vbd.humnet.unipi.it,no information provided,no information provided,no information provided,no information provided,LAT,Codex,no information provided,no information provided,Roberto Rosselli Del Turco,Università degli Studi di Torino,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Archivio Capitolare Vercelli,"Archivio Capitolare Vercelli, Italy","Chamber of Commerce, Vercelli, Fondazione CRT,",no information provided,no information provided,N/A,N/A
Middle Ages,1293-1295,I testimoni della Vita Nova,http://vitanova.unipv.it/,no information provided,no information provided,no information provided,no information provided,ITA,Manuscript,1999,no information provided,Simone Albonico,Università degli Studi di Pavia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,0,ITA,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Biblioteca Apostolica Vaticana; Biblioteca Nazionale Centrale di Firenze; Biblioteca Medicea Laurenziana,no information provided,MURST - Cofin 1999/2001,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1818,"Frankenstein; or, the Modern Prometheus",http://knarf.english.upenn.edu/,no information provided,no information provided,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,Stuart Curran,University of Pennsylvania,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1837-1873,Livingstone Online,http://www.livingstoneonline.ucl.ac.uk,no information provided,1,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,Christopher Lawrence,"David Livingstone Centre; John Rylands University Library; The University of Manchester; King Baudouin Foundation; Library, Art & Archives, Royal Botanic Gardens, Kew; Mitchell Library; National Library of Scotland; National Museum of the Royal Navy; Royal College of Physicians and Surgeons of Glasgow; Royal Geographical Society; Royal Society; Royal Museum for Central Africa; RSA; School of Oriental and African Studies Library at University of London; Wellcome Library",no information provided,no information provided,no information provided,no information provided,1,no information provided,1,1,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Wellcome Trust,no information provided,no information provided,N/A,N/A
Middle Ages,no information provided,Edizione Critica Ipertestuale dello Zibaldone Laurenziano (Pluteo XXIX.8) autografo di Giovanni Boccaccio,http://rmcisadu.let.uniroma1.it/boccaccio/,1,no information provided,1,no information provided,LAT,Manuscript,no information provided,no information provided,Raul Mordenti,Università degli Studi di Roma'La Sapienza,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,ITA,ITA,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Biblioteca Medicea Laurenziana,no information provided,MIUR,no information provided,no information provided,N/A,N/A
Early Modern,1530-1540,"A Social Edition of the Devonshire MS (BL Add 17,492)",http://en.wikibooks.org/wiki/The_Devonshire_Manuscript,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,Raymond Siemens,University of Victoria,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,1,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,1,no information provided,no information provided,no information provided,1,no information provided,British Library,no information provided,no information provided,no information provided,Wikibooks,N/A,N/A
Early Modern,15th-17th,Les Bibliothèques Virtuelles Humanistes,http://www.bvh.univ-tours.fr/#,no information provided,no information provided,no information provided,no information provided,MIX,no information provided,no information provided,no information provided,Sandrine Breuil,"Centre d'Études Supérieures de la Renaissance, Centre National de la Recherche Scientifique, Institut Universitaire de France ",no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,1450,The Paris Codex,http://digital.library.northwestern.edu/codex/index.html,no information provided,no information provided,no information provided,no information provided,MYN,Manuscript,no information provided,no information provided,Scott Garton,Northwestern University Library,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,no information provided,0,0,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1787-1788,The Memorandoms of James Martin,https://www.ucl.ac.uk/Bentham-Project/publications/martins-memorandoms/martins-memorandoms.html,no information provided,1,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,Tim Causer,University College London,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided
Middle Ages,13th,Actes Royaux,http://www.cn-telma.fr/actesroyaux/index/,1,no information provided,1,no information provided,LAT,no information provided,no information provided,no information provided,Xavier Hélary,CNRS (Centre national de la recherche scientifique),no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,FRE,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,pre-1920,American Verse Project,http://quod.lib.umich.edu/a/amverse/,no information provided,no information provided,1,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,University of Michigan Humanities Text Initiative (HTI); University of Michigan Press,General public,"0,5",0,no information provided,1,no information provided,0,0,0,0,0,ENG,no information provided,no information provided,1,no information provided,0,no information provided,no information provided,0,no information provided,"0,5",no information provided,OCR,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,11th,Bernard Muir's CD-ROM facsimile of Bodleian Library MS Junius 11,http://www.bodleianshop.co.uk/a-digital-facsimile-of-oxford-bodleian-library-ms-junius-11.html,no information provided,1,no information provided,no information provided,ANG,no information provided,no information provided,no information provided,Bernard J. Muir,Bodleian Library,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,1,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Bodleian Library,no information provided,Bodleian Library,no information provided,CDROM,no information provided,"238,8"
Early Modern,1759,Candide 2.0,http://candide.nypl.org/text/,no information provided,1,1,no information provided,FRE ,no information provided,no information provided,no information provided,Alice Boone; Ben Vershbow; Eddie A. Tejeda,New York Public Library,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,1,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Bibliothèque nationale de France; Bibliothèque de l'Arsenal,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Modern,1941-1944,Chronik des Gettos Lodz / Litzmannstadt,http://www.getto-chronik.de/de/,no information provided,1,no information provided,0,"GER, POL",Chronicle; diary,no information provided,no information provided,no information provided,Staatsarchive Lodz,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,0,0,0,no information provided,GER; ENG,no information provided,no information provided,no information provided,no information provided,0,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1853-1867,Clotel by William Wells Brown,http://rotunda.upress.virginia.edu:8080/clotel/,1,no information provided,1,1,ENG,no information provided,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,"0,5",0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"Andrew W. Mellon Foundation, President's Office of the University of Virginia",no information provided,no information provided,N/A,N/A
Antiquity,no information provided,DASI: Digital Archive for the Study of Pre-Islamic Arabian Inscriptions,http://dasi.humnet.unipi.it/,no information provided,no information provided,no information provided,no information provided,ARA,Stone,no information provided,no information provided,no information provided,Università degli studi di Pisa; Scuola Normale Superiore di Pisa,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,14th,"Datini, Lettere",http://www.archiviodistato.prato.it/margherita/trailer/home.htm,no information provided,no information provided,no information provided,no information provided,ITA,Manuscript,2002,no information provided,no information provided,Archivio di Stato di Prato,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,1,no information provided,no information provided,no information provided,ITA,ITA,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Archivio di Stato di Prato,no information provided,Archivio di Stato di Prato,no information provided,CDROM,no information provided,no information provided
Long Nineteenth Century,1826,Digital Shikshapatri,http://www.shikshapatri.org.uk/,no information provided,no information provided,no information provided,no information provided,SAN,Manuscript,2000,no information provided,Gillian Evison; Marilyn Deegan,University of Oxford,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,0,0,0,no information provided,ENG,1,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Bodleian Library,no information provided,New Opportunities Fund,no information provided,no information provided,N/A,N/A
Middle Ages,no information provided,Electronic Beowulf CDROM,http://ebeowulf.uky.edu/,no information provided,no information provided,no information provided,no information provided,ANG,no information provided,no information provided,no information provided,Kevin Kiernan,University of Kentucky,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,British Library,no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
Long Nineteenth Century,no information provided,Emily Dickinson's Archive,http://www.edickinson.org/,no information provided,1,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,no information provided,Various,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,"The Sidney Verba Fund, Harvard Library; the Emily Dickinson Fund, Houghton Library; and Harvard University Press",no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1830-1886,Emily Dickinson's Correspondences,http://rotunda.upress.virginia.edu/edc/,1,1,1,no information provided,ENG,no information provided,no information provided,no information provided,Martha Nell Smith; Lara Vetter,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Early Modern,1555,Gabriel Harvey's Livy Online,http://abo.annotatedbooksonline.com/#binding-5-1,no information provided,1,0,0,ENG,Manuscript,no information provided,no information provided,no information provided,University College London; University of Utrecht; Princeton University,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1600-1630,Galileo Galilei's Notes on Motion,http://www.mpiwg-berlin.mpg.de/Galileo_Prototype/MAIN.HTM,no information provided,no information provided,no information provided,no information provided,ITA,Manuscript,no information provided,no information provided,Isabella Truci; Paolo Galluzzi; Jürgen Renn,Max Planck Institute for the History of Science ,no information provided,no information provided,no information provided,no information provided,0,no information provided,1,no information provided,0,0,no information provided,ENG,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,15th,Göttinger Statuten (kundige bok 2),http://kundigebok.stadtarchiv.goettingen.de/kb2Web/html/,no information provided,1,no information provided,no information provided,GMH,Manuscript,no information provided,no information provided,Malte Rehbein,University of Göttingen,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,no information provided,GER,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1819-1891,Herman Melville's Typee,http://rotunda.upress.virginia.edu/melville/,1,no information provided,1,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,University of Virginia,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; President's Office of the University of Virginia,no information provided,no information provided,N/A,N/A
Early Modern,no information provided,In Mozart's Words,http://letters.mozartways.com/,no information provided,no information provided,no information provided,no information provided,GER,Letters,no information provided,no information provided,Cliff Eisen,University of Sheffield; King's College London; Stiftung Mozarteum Salzburg,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG; GER; ITA; FRE,no information provided,no information provided,1,0,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern; Long Nineteenth Century,19th,Intibah Edition and Transcription,http://courses.washington.edu/otap/intibah/intibah.html,no information provided,no information provided,1,no information provided,OTA,Novel,forthcoming,no information provided,Selim S. Kuru,University of Washington,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,1,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
